date,name,category,value
2022-03-22,When it comes to Z,hashtag,4
2022-03-22,Standingwithukraine,hashtag,4
2022-03-23,Dragons,hashtag,4
2022-03-23,Korean,hashtag,4
2022-03-22,Ukrainarussia,hashtag,4
2022-03-22,Johnsonout56,hashtag,4
2022-03-22,Efnil,hashtag,4
2022-03-22,Embargo,hashtag,4
2022-03-23,Orsini,hashtag,3
2022-03-22,Notowar,hashtag,3
2022-03-23,Ethereum,hashtag,3
2022-03-22,Boycottrenault,hashtag,3
2022-03-22,Freemazinnamdikanunow,hashtag,3
2022-03-22,Ga,hashtag,3
2022-03-23,Crimea,hashtag,3
2022-03-23,Foreign Legion,hashtag,3
2022-03-22,Oligarchy,hashtag,3
2022-03-22,Georgia,hashtag,3
2022-03-22,russianukrainianwar,hashtag,3
2022-03-22,Diesel,hashtag,3
2022-03-22,Nj,hashtag,3
2022-03-22,Borisbashing,hashtag,3
2022-03-22,Democracy,hashtag,3
2022-03-22,Dommune,hashtag,3
2022-03-22,Donate,hashtag,3
2022-03-23,EU,hashtag,3
2022-03-23,Born,hashtag,3
2022-03-22,Ohio,hashtag,3
2022-03-23,Opcw,hashtag,3
2022-03-22,Ohsen,hashtag,3
2022-03-22,Fckptn,hashtag,3
2022-03-22,Criminal government,hashtag,3
2022-03-23,Fckptn,hashtag,3
2022-03-23,Openseanft,hashtag,3
2022-03-22,Nuclear,hashtag,3
2022-03-23,ruble,hashtag,3
2022-03-22,Finance,hashtag,3
2022-03-22,Ct,hashtag,3
2022-03-22,soldiers,hashtag,3
2022-03-23,Ethiopia,hashtag,3
2022-03-22,Ethiopia,hashtag,3
2022-03-23,Oil,hashtag,3
2022-03-23,Erurisforukraine,hashtag,3
2022-03-22,Melenchon,hashtag,3
2022-03-23,23 March,hashtag,3
2022-03-23,Bz_f,hashtag,3
2022-03-22,Ca,hashtag,3
2022-03-23,Cl_f,hashtag,3
2022-03-22,Music,hashtag,3
2022-03-22,Israeli,hashtag,3
2022-03-22,Msm,hashtag,3
2022-03-22,134,hashtag,3
2022-03-22,Javascript,hashtag,3
2022-03-22,Chinese,hashtag,3
2022-03-23,Join us,hashtag,3
2022-03-22,Momswickedtruth,hashtag,3
2022-03-22,warukrainearv,hashtag,3
2022-03-22,Palestine,hashtag,3
2022-03-22,Kpo,hashtag,3
2022-03-22,Ky,hashtag,3
2022-03-22,Mnet,hashtag,3
2022-03-22,usa,hashtag,3
2022-03-22,Missile,hashtag,3
2022-03-22,Lariachetira,hashtag,3
2022-03-23,Latestnews,hashtag,3
2022-03-22,Lavrov,hashtag,3
2022-03-23,Legionnaire,hashtag,3
2022-03-23,Metaverse,hashtag,3
2022-03-23,Live,hashtag,3
2022-03-22,Ceptbiro,hashtag,3
2022-03-22,Mentalhealthmatters,hashtag,3
2022-03-23,Macron,hashtag,3
2022-03-22,Mensch,hashtag,3
2022-03-22,Mattarella,hashtag,3
2022-03-23,McKinsey,hashtag,3
2022-03-22,Climatechange,hashtag,3
2022-03-22,Ipu144,hashtag,3
2022-03-22,Comparison,hashtag,3
2022-03-22,Nationalityandbordersbill,hashtag,3
2022-03-23,Habeck,hashtag,3
2022-03-23,Brovary,hashtag,3
2022-03-23,Nftdrop,hashtag,3
2022-03-22,Commune,hashtag,3
2022-03-22,Help,hashtag,3
2022-03-22,Mcdonalds,hashtag,3
2022-03-22,Hungarian,hashtag,3
2022-03-22,Hunterbiden,hashtag,3
2022-03-22,yellow vests,hashtag,3
2022-03-23,y,hashtag,3
2022-03-22,Btc,hashtag,3
2022-03-23,Ihl,hashtag,3
2022-03-22,Imfblog,hashtag,3
2022-03-22,Co,hashtag,3
2022-03-22,In,hashtag,3
2022-03-23,New world order,hashtag,3
2022-03-22,Cnn,hashtag,3
2022-03-22,Infanticide,hashtag,3
2022-03-22,Ne,hashtag,3
2022-03-23,Bundestag,hashtag,3
2022-03-22,Informationislight,hashtag,3
2022-03-22,Closeuaskynow,hashtag,3
2022-03-22,Nd,hashtag,3
2022-03-22,Nc,hashtag,3
2022-03-22,Infosec,hashtag,3
2022-03-22,Institute for Biological Weapons,hashtag,3
2022-03-22,Nazisinukraine,hashtag,3
2022-03-22,Io,hashtag,3
2022-03-22,tanks,hashtag,3
2022-03-22,Historyforukraine,hashtag,3
2022-03-22,Osint,hashtag,3
2022-03-22,Vanityfairstories,hashtag,3
2022-03-22,Ukrainerussiacrisis,hashtag,3
2022-03-23,Readingrussia,hashtag,3
2022-03-22,Spain,hashtag,3
2022-03-22,Ua,hashtag,3
2022-03-22,Ak,hashtag,3
2022-03-22,Vanitystars,hashtag,3
2022-03-23,double standards,hashtag,3
2022-03-22,documents,hashtag,3
2022-03-23,Standwithukriane,hashtag,3
2022-03-22,Vitaliklitschko,hashtag,3
2022-03-22,Uaarmy,hashtag,3
2022-03-22,Bbc,hashtag,3
2022-03-22,Toriesunfittogovern,hashtag,3
2022-03-22,5things,hashtag,3
2022-03-23,Stopbusinessinrussia,hashtag,3
2022-03-22,dhh,hashtag,3
2022-03-22,Tn,hashtag,3
2022-03-22,Analysis,hashtag,3
2022-03-22,Putinlies,hashtag,3
2022-03-22,Armenia,hashtag,3
2022-03-22,Youyesyet,hashtag,3
2022-03-22,Army,hashtag,3
2022-03-22,Soviet,hashtag,3
2022-03-22,Al,hashtag,3
2022-03-22,Tx,hashtag,3
2022-03-22,Ru,hashtag,3
2022-03-22,Skynews,hashtag,3
2022-03-22,502daysoftigraygenocide,hashtag,3
2022-03-23,myth,hashtag,3
2022-03-22,Russian aggression,hashtag,3
2022-03-22,nato,hashtag,3
2022-03-22,5,hashtag,3
2022-03-22,Ukrainewarnews,hashtag,3
2022-03-23,Rubles,hashtag,3
2022-03-23,Ukriane,hashtag,3
2022-03-22,Truth,hashtag,3
2022-03-23,Azov,hashtag,3
2022-03-22,Az,hashtag,3
2022-03-22,Russian invasion,hashtag,3
2022-03-23,Ukraineunderattaсk,hashtag,3
2022-03-22,Awazthevoice,hashtag,3
2022-03-22,Rohingya,hashtag,3
2022-03-22,Ri,hashtag,3
2022-03-22,Soldiers,hashtag,3
2022-03-23,Tpyxa,hashtag,3
